Set_Type,Image_Index,True_Curve,Pred_Curve,Diff_Curve,True_Lift,Pred_Lift,Diff_Lift,True_Cross,Pred_Cross,Diff_Cross
Training,22,6.0,10.1869,4.1869,2.0,1.7256,0.2744,3.0,3.3239,0.3239
Training,23,10.0,11.7032,1.7032,1.0,1.6448,0.6448,1.0,4.5943,3.5943
Training,24,9.0,10.7429,1.7429,1.0,1.6455,0.6455,1.0,3.8597,2.8597
Training,25,14.0,13.5675,0.4325,3.0,1.9783,1.0217,5.0,5.0746,0.0746
Training,26,7.0,11.9099,4.9099,1.0,1.5282,0.5282,12.0,5.3513,6.6487
Training,27,13.0,12.12,0.88,1.0,1.7438,0.7438,1.0,4.5126,3.5126
Training,28,10.0,12.6541,2.6541,3.0,2.2825,0.7175,2.0,3.4255,1.4255
Training,29,21.0,12.6769,8.3231,5.0,1.6224,3.3776,4.0,5.8852,1.8852
Training,30,5.0,11.7566,6.7566,3.0,1.8936,1.1064,2.0,3.7787,1.7787
Training,31,19.0,13.9684,5.0316,2.0,2.0793,0.0793,5.0,5.0024,0.0024
Training,32,8.0,12.906,4.906,3.0,2.1805,0.8195,1.0,3.7101,2.7101
Training,33,12.0,15.1109,3.1109,1.0,2.2044,1.2044,4.0,5.4138,1.4138
Training,34,16.0,13.4383,2.5617,3.0,2.3735,0.6265,3.0,3.6244,0.6244
Training,35,11.0,10.5769,0.4231,1.0,1.683,0.683,7.0,3.688,3.312
Training,36,29.0,12.3728,16.6272,1.0,1.8454,0.8454,6.0,4.4914,1.5086
Training,37,14.0,11.5389,2.4611,1.0,1.8971,0.8971,4.0,3.8427,0.1573
Training,38,5.0,10.6478,5.6478,1.0,1.4165,0.4165,4.0,4.748,0.748
Training,39,13.0,13.8854,0.8854,1.0,1.8702,0.8702,9.0,5.6801,3.3199
Training,40,30.0,15.8365,14.1635,4.0,2.68,1.32,6.0,4.4718,1.5282
Training,41,7.0,10.5278,3.5278,2.0,1.5761,0.4239,4.0,4.1223,0.1223
Training,42,30.0,13.0363,16.9637,5.0,1.9157,3.0843,6.0,4.7613,1.2387
Training,43,16.0,11.0648,4.9352,2.0,1.5728,0.4272,12.0,4.4859,7.5141
Training,44,12.0,16.4165,4.4165,3.0,2.372,0.628,12.0,5.9833,6.0167
Training,45,15.0,12.6049,2.3951,3.0,1.8297,1.1703,4.0,4.6513,0.6513
Training,46,34.0,13.9651,20.0349,3.0,2.1926,0.8074,7.0,4.4057,2.5943
Training,47,13.0,11.6014,1.3986,4.0,1.994,2.006,5.0,3.348,1.652
Training,48,9.0,11.0938,2.0938,5.0,2.0859,2.9141,3.0,2.9384,0.0616
Training,49,8.0,12.0753,4.0753,2.0,1.5455,0.4545,8.0,5.5849,2.4151
Training,50,14.0,11.1034,2.8966,5.0,1.7562,3.2438,3.0,3.8059,0.8059
Training,51,6.0,13.3814,7.3814,5.0,2.2228,2.7772,3.0,4.1661,1.1661
Training,52,20.0,14.4811,5.5189,4.0,2.1808,1.8192,1.0,4.9559,3.9559
Training,53,35.0,12.5068,22.4932,1.0,1.8283,0.8283,1.0,4.5968,3.5968
Training,54,12.0,13.9235,1.9235,3.0,2.1094,0.8906,5.0,4.7334,0.2666
Training,55,4.0,12.1642,8.1642,1.0,1.881,0.881,0.0,4.368,4.368
Training,56,24.0,13.1297,10.8703,2.0,1.854,0.146,15.0,5.0103,9.9897
Training,57,11.0,12.4877,1.4877,2.0,1.5703,0.4297,1.0,5.6961,4.6961
Training,58,6.0,10.345,4.345,2.0,1.5497,0.4503,1.0,4.0803,3.0803
Training,59,9.0,13.0938,4.0938,2.0,1.9763,0.0237,6.0,4.5521,1.4479
Training,60,10.0,11.4354,1.4354,1.0,1.6379,0.6379,13.0,4.5489,8.4511
Training,61,11.0,12.794,1.794,1.0,1.7995,0.7995,5.0,5.0111,0.0111
Training,62,8.0,14.353,6.353,1.0,2.2092,1.2092,1.0,4.7111,3.7111
Training,63,15.0,12.6893,2.3107,1.0,1.6594,0.6594,6.0,5.6505,0.3495
Training,64,5.0,12.6865,7.6865,1.0,2.036,1.036,3.0,4.0901,1.0901
Training,65,11.0,11.7233,0.7233,2.0,1.5495,0.4505,6.0,5.2453,0.7547
Training,66,5.0,11.6071,6.6071,1.0,1.5137,0.5137,3.0,5.1748,2.1748
Training,67,23.0,18.5969,4.4031,4.0,3.3154,0.6846,2.0,4.8258,2.8258
Training,68,12.0,11.7018,0.2982,1.0,1.7116,0.7116,1.0,4.5175,3.5175
Training,69,13.0,12.293,0.707,1.0,1.6751,0.6751,5.0,5.0067,0.0067
Training,70,15.0,13.8968,1.1032,5.0,2.06,2.94,5.0,4.7223,0.2777
Training,71,8.0,11.6768,3.6768,3.0,1.543,1.457,5.0,5.1984,0.1984
Training,72,16.0,15.3561,0.6439,2.0,2.197,0.197,15.0,5.5489,9.4511
Training,73,19.0,11.8699,7.1301,1.0,1.8482,0.8482,2.0,3.8789,1.8789
Training,74,22.0,16.76,5.24,4.0,3.0666,0.9334,10.0,4.2994,5.7006
Training,75,10.0,14.0281,4.0281,2.0,2.0228,0.0228,9.0,5.177,3.823
Training,76,14.0,13.3273,0.6727,1.0,1.9772,0.9772,2.0,4.6746,2.6746
Training,77,21.0,12.4921,8.5079,2.0,1.6902,0.3098,10.0,5.2562,4.7438
Training,78,23.0,11.2291,11.7709,3.0,1.57,1.43,4.0,4.5459,0.5459
Training,79,7.0,10.6458,3.6458,2.0,1.8836,0.1164,3.0,3.1063,0.1063
Validation,0,16.0,12.7983,3.2017,6.0,1.7583,4.2417,2.0,5.1216,3.1216
Validation,1,15.0,13.4405,1.5595,3.0,1.9335,1.0665,5.0,4.9895,0.0105
Validation,2,12.0,14.4927,2.4927,3.0,1.9,1.1,4.0,5.8822,1.8822
Validation,3,5.0,12.1913,7.1913,1.0,1.8351,0.8351,2.0,4.2023,2.2023
Validation,4,28.0,13.3779,14.6221,3.0,1.964,1.036,11.0,4.8817,6.1183
Validation,5,15.0,14.2512,0.7488,2.0,2.0922,0.0922,2.0,5.1852,3.1852
Validation,6,17.0,14.6095,2.3905,3.0,2.2731,0.7269,6.0,4.7714,1.2286
Validation,7,15.0,16.6836,1.6836,1.0,2.4833,1.4833,3.0,5.8343,2.8343
Validation,8,21.0,14.4102,6.5898,1.0,2.1349,1.1349,6.0,5.1326,0.8674
Validation,9,12.0,14.5226,2.5226,2.0,1.9903,0.0097,13.0,5.7973,7.2027
Test,0,7.0,11.4475,4.4475,2.0,1.6221,0.3779,4.0,4.6306,0.6306
Test,1,31.0,12.844,18.156,5.0,1.8607,3.1393,9.0,5.0257,3.9743
Test,2,6.0,12.6966,6.6966,2.0,1.8947,0.1053,8.0,4.585,3.415
Test,3,4.0,10.7651,6.7651,2.0,1.4521,0.5479,1.0,4.769,3.769
Test,4,23.0,14.688,8.312,1.0,2.1817,1.1817,4.0,5.2873,1.2873
Test,5,3.0,13.3854,10.3854,1.0,2.0926,1.0926,4.0,4.4804,0.4804
Test,6,18.0,13.1241,4.8759,11.0,1.8227,9.1773,6.0,5.2184,0.7816
Test,7,4.0,10.6493,6.6493,1.0,1.5715,0.5715,0.0,4.166,4.166
Test,8,18.0,15.4664,2.5336,3.0,2.3711,0.6289,4.0,5.3139,1.3139
Test,9,14.0,10.4634,3.5366,1.0,1.5728,0.5728,10.0,4.0155,5.9845
